"xpath","count_occurrences","count_filings","schema_versions","first_year","last_year","latest_version","current_version","variable_name","rdb_relationship","rdb_table","label","form","form_part","variable_scope","data_type_simple","path_type"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpenditures2/Total",9144,9144,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_AVE_EXP_TOT_LOB_TOT","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures - total","SCHED-C","PART-02-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpendituresAmt",74174,73605,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SC_02_LOB_ACT_TOT_L1C_1I","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures","SCHED-C","PART-02-B","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/TotalLobbyingExpendituresIIB",17737,17737,"2009v1.0;;2009v1.1;;2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_LOB_ACT_TOT_L1C_1I","ONE","SC-P02-T00-LOBBY","Total lobbying expenditures","SCHED-C","PART-02-B","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/VolunteerHours",2115,2115,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_01_POLI_VOL_HOURS","ONE","SC-P01-T00-LOBBY","Volunteer hours for political campaign activities","SCHED-C","PART-01-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/VolunteerHoursCnt",12368,12348,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SC_01_POLI_VOL_HOURS","ONE","SC-P01-T00-LOBBY","Volunteer hours for political campaign activities","SCHED-C","PART-01-A","PZ","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleC/Volunteers",26206,26206,"2009v1.0;;2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SC_02_LOB_ACT_VOL_X","ONE","SC-P02-T00-LOBBY","Lobbied through volunteers [x]","SCHED-C","PART-02-B","PZ","checkbox","DATA"
"/Return/ReturnData/IRS990ScheduleC/VolunteersInd",87929,87279,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SC_02_LOB_ACT_VOL_X","ONE","SC-P02-T00-LOBBY","Lobbied through volunteers [x]","SCHED-C","PART-02-B","PZ","checkbox","DATA"
"/Return/ReturnData/IRS990ScheduleD",3216896,3195763,"2009v1.0;;2009v1.1;;2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.4;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0;;2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2009","2024","2024",TRUE,,,,,,,,,"HEADER"
"/Return/ReturnData/IRS990ScheduleD/AdditionsDuringYear",2577,2577,"2009v1.2;;2009v1.3;;2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.6;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.0;;2012v2.1;;2012v2.2;;2012v2.3;;2012v3.0","2009","2012","2012",FALSE,"SD_04_ESCROW_ADDITION","ONE","SD-P04-T00-ESCROW-CUSTODIAL-ARRANGEMENTS","Escrow or custodial arrangement additions during the year","SCHED-D","PART-04","PC","numeric","DATA"
"/Return/ReturnData/IRS990ScheduleD/AdditionsDuringYearAmt",12028,11879,"2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.0;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1;;2023v6.0;;2024v5.0;;2024v5.1;;2024v5.2;;2024v5.5","2013","2024","2024",TRUE,"SD_04_ESCROW_ADDITION","ONE","SD-P04-T00-ESCROW-CUSTODIAL-ARRANGEMENTS","Escrow or custodial arrangement additions during the year","SCHED-D","PART-04","PC","numeric","DATA"
