"xpath","TY2009","TY2010","TY2011","TY2012","TY2013","TY2014","TY2015","TY2016","TY2017","TY2018","TY2019","TY2020","TY2021","TY2022","TY2023","TY2024"
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/StateAbbreviationCd",0,0,0,0,0,126,145,165,182,166,182,208,216,225,244,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCd",0,0,0,0,0,126,145,165,182,166,182,208,216,225,244,125
"/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress/ZIPCode",0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AveragingAttachment",24,79,107,105,143,177,172,185,195,183,185,196,239,251,252,194
"/Return/ReturnData/AveragingAttachment/Explanation",22,76,105,103,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/AveragingAttachment/ExplanationTxt",0,0,0,0,142,176,172,184,194,182,185,195,234,249,249,193
"/Return/ReturnData/CompensationExplanation",3021,12315,15878,24397,27196,7351,8105,8238,8588,1630,2259,33782,2798,2707,2644,2198
"/Return/ReturnData/CompensationExplanation/Compensation",3021,12315,15878,19259,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/Compensation/BusinessName",77,311,353,395,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/Compensation/BusinessName/BusinessNameLine1",77,311,353,395,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/Compensation/BusinessName/BusinessNameLine2",27,149,170,170,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/Compensation/Explanation",106,834,1010,1266,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/Compensation/PersonName",2951,12149,15735,19127,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp",0,0,0,0,21949,1621,1923,2014,2124,1630,2259,33782,2798,2707,2644,2198
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName",0,0,0,0,420,10,20,30,36,23,32,43,57,59,56,37
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine1",0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine1Txt",0,0,0,0,0,10,20,30,36,23,32,43,57,59,56,37
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine2",0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/BusinessName/BusinessNameLine2Txt",0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,0
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/PersonNm",0,0,0,0,21825,1612,1905,1990,2091,1608,2230,33740,2658,2575,2518,2109
"/Return/ReturnData/CompensationExplanation/CompensationExplanationGrp/ShortExplanationTxt",0,0,0,0,1394,1570,1869,1951,2053,1630,2189,2385,2694,2606,2546,2130
"/Return/ReturnData/EmployeeCompensationExpln",2,3,6,7,9,14,10,7,13,19,13,40,58,66,59,49
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanation",1,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanation/EmployeeName",1,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanation/Explanation",1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanationGrp",0,0,0,0,2,1,2,1,8,11,8,14,17,22,18,12
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanationGrp/EmployeeNm",0,0,0,0,2,1,2,1,8,11,8,14,16,19,17,12
"/Return/ReturnData/EmployeeCompensationExpln/EmployeeCompExplanationGrp/ExplanationTxt",0,0,0,0,1,1,2,1,8,11,8,11,15,19,14,10
"/Return/ReturnData/IRS990",33311,123025,159504,179688,198855,218619,233519,243903,261612,271442,283694,320342,336480,349055,354768,277300
"/Return/ReturnData/IRS990/AccountantCompileOrReview",33311,123025,159504,179688,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountantCompileOrReviewBasis",0,0,0,20618,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountantCompileOrReviewBasis/FinancialStatementBoth",0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountantCompileOrReviewBasis/FinancialStatementConsolidated",0,0,0,1966,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountantCompileOrReviewBasis/FinancialStatementSeparate",0,0,0,17537,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountantCompileOrReviewInd",0,0,0,0,198855,218619,233519,243903,261612,271442,283694,320342,336480,349055,354768,277300
"/Return/ReturnData/IRS990/AccountsPayableAccrExpnssGrp",0,0,0,0,141551,153777,162367,167866,179459,183271,191390,213645,220816,227109,228838,170321
"/Return/ReturnData/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt",0,0,0,0,135709,147291,155178,160450,171407,175226,182875,203820,209589,215366,217098,161000
"/Return/ReturnData/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt",0,0,0,0,136966,148409,156616,162134,173303,176786,184246,205410,212534,218559,220030,162794
"/Return/ReturnData/IRS990/AccountsPayableAccruedExpenses",28831,90304,116095,129760,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsPayableAccruedExpenses/BOY",28083,86450,111185,124504,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsPayableAccruedExpenses/EOY",28251,87342,112403,125672,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsReceivable",24855,75786,98700,109711,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsReceivable/BOY",22254,62025,80760,88982,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsReceivable/EOY",23749,72305,95284,105817,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AccountsReceivableGrp",0,0,0,0,119701,129890,136794,141048,150091,152959,157912,174445,180720,185930,187519,139479
"/Return/ReturnData/IRS990/AccountsReceivableGrp/BOYAmt",0,0,0,0,96321,104024,109168,112125,119521,120902,126236,139888,142425,146249,146603,105944
"/Return/ReturnData/IRS990/AccountsReceivableGrp/EOYAmt",0,0,0,0,115491,125139,131577,135679,144521,147415,151249,166631,173126,178002,179358,133124
"/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp",0,0,0,0,23419,26040,27443,28526,30038,30944,32142,36580,37285,38027,38003,30234
"/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd",0,0,0,0,859,961,1025,1034,1113,1199,1223,1603,1711,1814,1864,1529
"/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd",0,0,0,0,2317,2476,2585,2772,2836,2996,3220,3736,3844,4048,4055,3235
"/Return/ReturnData/IRS990/AcctCompileOrReviewBasisGrp/SeparateBasisFinclStmtInd",0,0,0,0,19910,22178,23408,24272,25586,26145,26779,29879,30175,30542,30515,23940
"/Return/ReturnData/IRS990/ActivitiesConductedPartnership",33311,123025,159504,179688,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivitiesConductedPrtshpInd",0,0,0,0,198855,218619,233519,243903,261612,271442,283694,320342,336480,349055,354768,277300
"/Return/ReturnData/IRS990/Activity2",12366,39358,50488,56400,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity2/ActivityCode",46,106,117,126,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity2/Description",12321,39215,50336,56196,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity2/Expense",11315,33781,43315,48031,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity2/Grants",3014,8602,10365,12098,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity2/Revenue",7178,19060,23493,26023,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3",9389,28299,35907,39869,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3/ActivityCode",38,68,81,95,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3/Description",9361,28264,35855,39823,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3/Expense",8622,24326,30752,33820,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3/Grants",2193,5896,6979,8063,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Activity3/Revenue",5440,13624,16400,18035,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityCd",0,0,0,0,309,343,340,334,340,343,362,534,554,608,624,635
"/Return/ReturnData/IRS990/ActivityCode",102,320,308,316,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOrMissionDesc",0,0,0,0,198855,218619,233519,243903,261612,271442,283694,320342,336480,349055,354768,277300
"/Return/ReturnData/IRS990/ActivityOrMissionDescription",33311,123025,159504,179688,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOther",5801,17736,22794,26082,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOther/Description",5457,16765,21485,24579,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOther/Expense",5046,14163,17841,20616,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOther/Grants",1395,3468,4147,5265,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/ActivityOther/Revenue",3073,7144,8612,9703,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressChange",1342,5008,6446,6905,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressChangeInd",0,0,0,0,7891,8777,9262,9409,10278,10731,11471,12830,13623,14411,13953,10928
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign",40,150,217,239,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/AddressLine1",40,150,217,239,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/AddressLine2",0,5,13,22,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/City",36,135,201,216,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/Country",40,150,217,239,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/PostalCode",28,100,141,146,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerForeign/ProvinceOrState",24,80,106,121,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS",29043,100689,129757,145315,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/AddressLine1",29043,100689,129757,145315,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/AddressLine2",386,1091,1387,1436,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/City",29043,100689,129757,145315,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/State",29043,100689,129757,145315,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/AddressPrincipalOfficerUS/ZIPCode",29043,100689,129757,145315,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Advertising",21030,74479,97694,110816,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Advertising/Fundraising",6015,17556,22392,25675,0,0,0,0,0,0,0,0,0,0,0,0
"/Return/ReturnData/IRS990/Advertising/ManagementAndGeneral",10933,30116,38247,42817,0,0,0,0,0,0,0,0,0,0,0,0
